Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	K-glutamate well	destPlate1	G6	270
Plate1	K-glutamate well	destPlate1	H6	216
Plate1	K-glutamate well	destPlate1	I6	162
Plate1	K-glutamate well	destPlate1	J6	54
Plate1	K-glutamate well	destPlate1	K6	0
Plate1	K-glutamate well	destPlate1	L6	162
Plate1	K-glutamate well	destPlate1	M6	270
Plate1	K-glutamate well	destPlate1	N6	216
Plate1	K-glutamate well	destPlate1	O6	216
Plate1	K-glutamate well	destPlate1	P6	0
Plate1	K-glutamate well	destPlate1	A7	270
Plate1	K-glutamate well	destPlate1	B7	54
Plate1	K-glutamate well	destPlate1	C7	216
Plate1	K-glutamate well	destPlate1	D7	54
Plate1	K-glutamate well	destPlate1	E7	54
Plate1	K-glutamate well	destPlate1	F7	216
Plate1	K-glutamate well	destPlate1	G7	216
Plate1	K-glutamate well	destPlate1	H7	270
Plate1	K-glutamate well	destPlate1	I7	162
Plate1	K-glutamate well	destPlate1	J7	162
Plate1	K-glutamate well	destPlate1	K7	0
Plate1	K-glutamate well	destPlate1	L7	216
Plate1	K-glutamate well	destPlate1	M7	0
Plate1	K-glutamate well	destPlate1	N7	0
Plate1	K-glutamate well	destPlate1	O7	216
Plate1	K-glutamate well	destPlate1	P7	54
Plate1	K-glutamate well	destPlate1	A8	162
Plate1	K-glutamate well	destPlate1	B8	270
Plate1	K-glutamate well	destPlate1	C8	162
Plate1	K-glutamate well	destPlate1	D8	54
Plate1	K-glutamate well	destPlate1	E8	54
Plate1	K-glutamate well	destPlate1	F8	54
Plate1	K-glutamate well	destPlate1	G8	54
Plate1	K-glutamate well	destPlate1	H8	270
Plate1	K-glutamate well	destPlate1	I8	216
Plate1	K-glutamate well	destPlate1	J8	162
Plate1	K-glutamate well	destPlate1	K8	54
Plate1	K-glutamate well	destPlate1	L8	0
Plate1	K-glutamate well	destPlate1	M8	162
Plate1	K-glutamate well	destPlate1	N8	270
Plate1	K-glutamate well	destPlate1	O8	216
Plate1	K-glutamate well	destPlate1	P8	216
Plate1	K-glutamate well	destPlate1	A9	0
Plate1	K-glutamate well	destPlate1	B9	270
Plate1	K-glutamate well	destPlate1	C9	54
Plate1	K-glutamate well	destPlate1	D9	216
Plate1	K-glutamate well	destPlate1	E9	54
Plate1	K-glutamate well	destPlate1	F9	54
Plate1	K-glutamate well	destPlate1	G9	216
Plate1	K-glutamate well	destPlate1	H9	216
Plate1	K-glutamate well	destPlate1	I9	270
Plate1	K-glutamate well	destPlate1	J9	162
Plate1	K-glutamate well	destPlate1	K9	162
Plate1	K-glutamate well	destPlate1	L9	0
Plate1	K-glutamate well	destPlate1	M9	216
Plate1	K-glutamate well	destPlate1	N9	0
Plate1	K-glutamate well	destPlate1	O9	0
Plate1	K-glutamate well	destPlate1	P9	216
Plate1	K-glutamate well	destPlate1	A10	54
Plate1	K-glutamate well	destPlate1	B10	162
Plate1	K-glutamate well	destPlate1	C10	270
Plate1	K-glutamate well	destPlate1	D10	162
Plate1	K-glutamate well	destPlate1	E10	54
Plate1	K-glutamate well	destPlate1	F10	54
Plate1	K-glutamate well	destPlate1	G10	54
Plate1	K-glutamate well	destPlate1	H10	54
Plate1	K-glutamate well	destPlate1	I10	270
Plate1	K-glutamate well	destPlate1	J10	216
Plate1	K-glutamate well	destPlate1	K10	162
Plate1	K-glutamate well	destPlate1	L10	54
Plate1	K-glutamate well	destPlate1	M10	0
Plate1	K-glutamate well	destPlate1	N10	162
Plate1	K-glutamate well	destPlate1	O10	270
Plate1	K-glutamate well	destPlate1	P10	216
Plate1	K-glutamate well	destPlate1	A11	216
Plate1	K-glutamate well	destPlate1	B11	0
Plate1	K-glutamate well	destPlate1	C11	270
Plate1	K-glutamate well	destPlate1	D11	54
Plate1	K-glutamate well	destPlate1	E11	216
Plate1	K-glutamate well	destPlate1	F11	54
Plate1	K-glutamate well	destPlate1	G11	54
Plate1	K-glutamate well	destPlate1	H11	216
Plate1	K-glutamate well	destPlate1	I11	216
Plate1	K-glutamate well	destPlate1	J11	270
Plate1	K-glutamate well	destPlate1	K11	162
Plate1	K-glutamate well	destPlate1	L11	162
Plate1	K-glutamate well	destPlate1	M11	0
Plate1	K-glutamate well	destPlate1	N11	216
Plate1	K-glutamate well	destPlate1	O11	0
Plate1	K-glutamate well	destPlate1	P11	0
Plate1	K-glutamate well	destPlate1	A12	216
Plate1	K-glutamate well	destPlate1	B12	54
Plate1	K-glutamate well	destPlate1	C12	162
Plate1	K-glutamate well	destPlate1	D12	270
Plate1	K-glutamate well	destPlate1	E12	162
Plate1	K-glutamate well	destPlate1	F12	54
Plate1	K-glutamate well	destPlate1	G12	54
Plate1	K-glutamate well	destPlate1	H12	54
Plate1	K-glutamate well	destPlate1	I12	54
Plate1	K-glutamate well	destPlate1	J12	270
Plate1	K-glutamate well	destPlate1	K12	216
Plate1	K-glutamate well	destPlate1	L12	162
Plate1	K-glutamate well	destPlate1	M12	54
Plate1	K-glutamate well	destPlate1	N12	0
Plate1	K-glutamate well	destPlate1	O12	162
Plate1	K-glutamate well	destPlate1	P12	270
Plate1	K-glutamate well	destPlate1	A13	216
Plate1	K-glutamate well	destPlate1	B13	216
Plate1	K-glutamate well	destPlate1	C13	0
Plate1	K-glutamate well	destPlate1	D13	270
Plate1	K-glutamate well	destPlate1	E13	54
Plate1	K-glutamate well	destPlate1	F13	216
Plate1	K-glutamate well	destPlate1	G13	54
Plate1	K-glutamate well	destPlate1	H13	54
Plate1	K-glutamate well	destPlate1	I13	216
Plate1	K-glutamate well	destPlate1	J13	216
Plate1	K-glutamate well	destPlate1	K13	270
Plate1	K-glutamate well	destPlate1	L13	162
Plate1	K-glutamate well	destPlate1	M13	162
Plate1	K-glutamate well	destPlate1	N13	0
Plate1	K-glutamate well	destPlate1	O13	216
Plate1	K-glutamate well	destPlate1	P13	0
Plate1	K-glutamate well	destPlate1	A14	0
Plate1	K-glutamate well	destPlate1	B14	216
Plate1	K-glutamate well	destPlate1	C14	54
Plate1	K-glutamate well	destPlate1	D14	162
Plate1	K-glutamate well	destPlate1	E14	270
Plate1	K-glutamate well	destPlate1	F14	162
Plate1	K-glutamate well	destPlate1	G14	54
Plate1	K-glutamate well	destPlate1	H14	54
Plate1	K-glutamate well	destPlate1	I14	54
Plate1	K-glutamate well	destPlate1	J14	54
Plate1	K-glutamate well	destPlate1	K14	270
Plate1	K-glutamate well	destPlate1	L14	216
Plate1	K-glutamate well	destPlate1	M14	162
Plate1	K-glutamate well	destPlate1	N14	54
Plate1	K-glutamate well	destPlate1	O14	0
Plate1	K-glutamate well	destPlate1	P14	162
Plate1	K-glutamate well	destPlate1	A15	270
Plate1	K-glutamate well	destPlate1	B15	216
Plate1	K-glutamate well	destPlate1	C15	216
Plate1	K-glutamate well	destPlate1	D15	0
Plate1	K-glutamate well	destPlate1	E15	270
Plate1	K-glutamate well	destPlate1	F15	54
Plate1	K-glutamate well	destPlate1	G15	216
Plate1	K-glutamate well	destPlate1	H15	54
Plate1	K-glutamate well	destPlate1	I15	54
Plate1	K-glutamate well	destPlate1	J15	216
Plate1	K-glutamate well	destPlate1	K15	216
Plate1	K-glutamate well	destPlate1	L15	270
Plate1	K-glutamate well	destPlate1	M15	162
Plate1	K-glutamate well	destPlate1	N15	162
Plate1	K-glutamate well	destPlate1	O15	0
Plate1	K-glutamate well	destPlate1	P15	216
Plate1	K-glutamate well	destPlate1	A16	0
Plate1	K-glutamate well	destPlate1	B16	0
Plate1	K-glutamate well	destPlate1	C16	216
Plate1	K-glutamate well	destPlate1	D16	54
Plate1	K-glutamate well	destPlate1	E16	162
Plate1	K-glutamate well	destPlate1	F16	270
Plate1	K-glutamate well	destPlate1	G16	162
Plate1	K-glutamate well	destPlate1	H16	54
Plate1	K-glutamate well	destPlate1	I16	54
Plate1	K-glutamate well	destPlate1	J16	54
Plate1	K-glutamate well	destPlate1	K16	54
Plate1	K-glutamate well	destPlate1	L16	270
Plate1	K-glutamate well	destPlate1	M16	216
Plate1	K-glutamate well	destPlate1	N16	162
