Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Mix 1 well	destPlate1	L3	1000
Plate1	Mix 1 well	destPlate1	M3	1000
Plate1	Mix 1 well	destPlate1	N3	1000
Plate1	Mix 1 well	destPlate1	O3	1000
Plate1	Mix 1 well	destPlate1	P3	1000
Plate1	Mix 1 well	destPlate1	A4	1000
Plate1	Mix 1 well	destPlate1	B4	1000
Plate1	Mix 1 well	destPlate1	C4	1000
Plate1	Mix 1 well	destPlate1	D4	1000
Plate1	Mix 1 well	destPlate1	E4	1000
Plate1	Mix 1 well	destPlate1	F4	1000
Plate1	Mix 1 well	destPlate1	G4	1000
Plate1	Mix 1 well	destPlate1	H4	1000
Plate1	Mix 1 well	destPlate1	I4	1000
Plate1	Mix 1 well	destPlate1	J4	1000
Plate1	Mix 1 well	destPlate1	K4	1000
Plate1	Mix 1 well	destPlate1	L4	1000
Plate1	Mix 1 well	destPlate1	M4	1000
Plate1	Mix 1 well	destPlate1	N4	1000
Plate1	Mix 1 well	destPlate1	O4	1000
Plate1	Mix 1 well	destPlate1	P4	1000
Plate1	Mix 1 well	destPlate1	A5	1000
Plate1	Mix 1 well	destPlate1	B5	1000
Plate1	Mix 1 well	destPlate1	C5	1000
Plate1	Mix 1 well	destPlate1	D5	1000
Plate1	Mix 1 well	destPlate1	E5	1000
Plate1	Mix 1 well	destPlate1	F5	1000
Plate1	Mix 1 well	destPlate1	G5	1000
Plate1	Mix 1 well	destPlate1	H5	1000
Plate1	Mix 1 well	destPlate1	I5	1000
Plate1	Mix 1 well	destPlate1	J5	1000
Plate1	Mix 1 well	destPlate1	K5	1000
Plate1	Mix 1 well	destPlate1	L5	1000
Plate1	Mix 1 well	destPlate1	M5	1000
Plate1	Mix 1 well	destPlate1	N5	1000
Plate1	Mix 1 well	destPlate1	O5	1000
Plate1	Mix 1 well	destPlate1	P5	1000
Plate1	Mix 1 well	destPlate1	A6	1000
Plate1	Mix 1 well	destPlate1	B6	1000
Plate1	Mix 1 well	destPlate1	C6	1000
Plate1	Mix 1 well	destPlate1	D6	1000
Plate1	Mix 1 well	destPlate1	E6	1000
Plate1	Mix 1 well	destPlate1	F6	1000
Plate1	Mix 1 well	destPlate1	G6	1000
Plate1	Mix 1 well	destPlate1	H6	1000
Plate1	Mix 1 well	destPlate1	I6	1000
Plate1	Mix 1 well	destPlate1	J6	1000
Plate1	Mix 1 well	destPlate1	K6	1000
Plate1	Mix 1 well	destPlate1	L6	1000
Plate1	Mix 1 well	destPlate1	M6	1000
Plate1	Mix 1 well	destPlate1	N6	1000
Plate1	Mix 1 well	destPlate1	O6	1000
Plate1	Mix 1 well	destPlate1	P6	1000
Plate1	Mix 1 well	destPlate1	A7	1000
Plate1	Mix 1 well	destPlate1	B7	1000
Plate1	Mix 1 well	destPlate1	C7	1000
Plate1	Mix 2 well	destPlate1	A1	1000
Plate1	Mix 2 well	destPlate1	B1	1000
Plate1	Mix 2 well	destPlate1	C1	1000
Plate1	Mix 2 well	destPlate1	D1	1000
Plate1	Mix 2 well	destPlate1	E1	1000
Plate1	Mix 2 well	destPlate1	F1	1000
Plate1	Mix 2 well	destPlate1	G1	1000
